이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: PPO model not found at ./ppo_MlpPolicy_models/ppo_MlpPolicy_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('/nfs/dataset/DIV2K/DIV2K_train_HR/DIV2K_train_HR/0373.png',), Episode count: 1[0m
[92mInitial PSNR: 23.639778[0m
Logging to ./ppo_MultiInputPolicy/PPO_10
Step: 0      | Time taken for 스텝 사이와 사이 (action choose time?) : 1736773724.457479 seconds
Step: 11     | Time taken for NumPy : 0.000188 seconds
Step: 11     | Time taken for obs : 0.000000 seconds
Step: 11     | Time taken for reward : 0.000000 seconds
Step: 12     | Time taken for rollback : 0.000013 seconds
Step: 12     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006697 seconds
Step: 12     |Time taken for simulate : 0.016420 seconds
Step: 12     | Time taken for NumPy : 0.000192 seconds
Step: 12     | Time taken for obs : 0.000000 seconds
Step: 12     | Time taken for reward : 0.000001 seconds
Step: 13     | Time taken for rollback : 0.000014 seconds
Step: 13     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006512 seconds
Step: 13     |Time taken for simulate : 0.017800 seconds
Step: 13     | Time taken for NumPy : 0.000236 seconds
Step: 13     | Time taken for obs : 0.000001 seconds
Step: 13     | Time taken for reward : 0.000001 seconds
Step: 14     | Time taken for rollback : 0.000031 seconds
Step: 14     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007890 seconds
Step: 14     |Time taken for simulate : 0.004596 seconds
Step: 14     | Time taken for NumPy : 0.000215 seconds
Step: 14     | Time taken for obs : 0.000001 seconds
Step: 14     | Time taken for reward : 0.000001 seconds
Step: 15     | Time taken for print : 0.000001 seconds
Step: 15     | Time taken for terminated : 0.000001 seconds
Step: 15     | Time taken for max_steps : 0.000001 seconds
Step: 15     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007565 seconds
Step: 15     |Time taken for simulate : 0.002792 seconds
Step: 15     | Time taken for NumPy : 0.000212 seconds
Step: 15     | Time taken for obs : 0.000001 seconds
Step: 15     | Time taken for reward : 0.000000 seconds
Step: 16     | Time taken for rollback : 0.000014 seconds
Step: 16     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006761 seconds
Step: 16     |Time taken for simulate : 0.001796 seconds
Step: 16     | Time taken for NumPy : 0.000277 seconds
Step: 16     | Time taken for obs : 0.000002 seconds
Step: 16     | Time taken for reward : 0.000001 seconds
Step: 17     | Time taken for print : 0.000001 seconds
Step: 17     | Time taken for terminated : 0.000002 seconds
Step: 17     | Time taken for max_steps : 0.000000 seconds
Step: 17     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.012274 seconds
Step: 17     |Time taken for simulate : 0.003385 seconds
Step: 17     | Time taken for NumPy : 0.000300 seconds
Step: 17     | Time taken for obs : 0.000001 seconds
Step: 17     | Time taken for reward : 0.000001 seconds
Step: 18     | Time taken for rollback : 0.000014 seconds
Step: 18     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010628 seconds
Step: 18     |Time taken for simulate : 0.002400 seconds
Step: 18     | Time taken for NumPy : 0.000195 seconds
Step: 18     | Time taken for obs : 0.000000 seconds
Step: 18     | Time taken for reward : 0.000001 seconds
Step: 19     | Time taken for rollback : 0.000014 seconds
Step: 19     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010018 seconds
Step: 19     |Time taken for simulate : 0.001842 seconds
Step: 19     | Time taken for NumPy : 0.000199 seconds
Step: 19     | Time taken for obs : 0.000000 seconds
Step: 19     | Time taken for reward : 0.000000 seconds
Step: 20     | Time taken for rollback : 0.000013 seconds
Step: 20     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010873 seconds
Step: 20     |Time taken for simulate : 0.013507 seconds
Step: 20     | Time taken for NumPy : 0.000235 seconds
Step: 20     | Time taken for obs : 0.000001 seconds
Step: 20     | Time taken for reward : 0.000001 seconds
Step: 21     | Time taken for rollback : 0.000029 seconds
Step: 21     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.014905 seconds
Step: 21     |Time taken for simulate : 0.013103 seconds
Step: 21     | Time taken for NumPy : 0.000198 seconds
Step: 21     | Time taken for obs : 0.000001 seconds
Step: 21     | Time taken for reward : 0.000001 seconds
Step: 22     | Time taken for print : 0.000000 seconds
Step: 22     | Time taken for terminated : 0.000002 seconds
Step: 22     | Time taken for max_steps : 0.000000 seconds
Step: 22     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006791 seconds
Step: 22     |Time taken for simulate : 0.012459 seconds
Step: 22     | Time taken for NumPy : 0.000199 seconds
Step: 22     | Time taken for obs : 0.000000 seconds
Step: 22     | Time taken for reward : 0.000001 seconds
Step: 23     | Time taken for rollback : 0.000015 seconds
Step: 23     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006632 seconds
Step: 23     |Time taken for simulate : 0.002340 seconds
Step: 23     | Time taken for NumPy : 0.000182 seconds
Step: 23     | Time taken for obs : 0.000001 seconds
Step: 23     | Time taken for reward : 0.000001 seconds
Step: 24     | Time taken for rollback : 0.000013 seconds
Step: 24     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006266 seconds
Step: 24     |Time taken for simulate : 0.002313 seconds
Step: 24     | Time taken for NumPy : 0.000335 seconds
Step: 24     | Time taken for obs : 0.000001 seconds
Step: 24     | Time taken for reward : 0.000001 seconds
Step: 25     | Time taken for rollback : 0.000072 seconds
Step: 25     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006808 seconds
Step: 25     |Time taken for simulate : 0.002637 seconds
Step: 25     | Time taken for NumPy : 0.000391 seconds
Step: 25     | Time taken for obs : 0.000000 seconds
Step: 25     | Time taken for reward : 0.000002 seconds
Step: 26     | Time taken for rollback : 0.000027 seconds
Step: 26     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.009809 seconds
Step: 26     |Time taken for simulate : 0.005936 seconds
Step: 26     | Time taken for NumPy : 0.000581 seconds
Step: 26     | Time taken for obs : 0.000001 seconds
Step: 26     | Time taken for reward : 0.000001 seconds
Step: 27     | Time taken for rollback : 0.000016 seconds
Step: 27     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007124 seconds
Step: 27     |Time taken for simulate : 0.001989 seconds
Step: 27     | Time taken for NumPy : 0.000193 seconds
Step: 27     | Time taken for obs : 0.000000 seconds
Step: 27     | Time taken for reward : 0.000000 seconds
Step: 28     | Time taken for rollback : 0.000013 seconds
Step: 28     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006630 seconds
Step: 28     |Time taken for simulate : 0.007275 seconds
Step: 28     | Time taken for NumPy : 0.000283 seconds
Step: 28     | Time taken for obs : 0.000001 seconds
Step: 28     | Time taken for reward : 0.000001 seconds
Step: 29     | Time taken for print : 0.000000 seconds
Step: 29     | Time taken for terminated : 0.000001 seconds
Step: 29     | Time taken for max_steps : 0.000001 seconds
Step: 29     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006882 seconds
Step: 29     |Time taken for simulate : 0.002063 seconds
Step: 29     | Time taken for NumPy : 0.000185 seconds
Step: 29     | Time taken for obs : 0.000000 seconds
Step: 29     | Time taken for reward : 0.000000 seconds
Step: 30     | Time taken for rollback : 0.000013 seconds
Step: 30     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006391 seconds
Step: 30     |Time taken for simulate : 0.002120 seconds
Step: 30     | Time taken for NumPy : 0.000184 seconds
Step: 30     | Time taken for obs : 0.000000 seconds
Step: 30     | Time taken for reward : 0.000001 seconds
Step: 31     | Time taken for rollback : 0.000012 seconds
Step: 31     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006337 seconds
Step: 31     |Time taken for simulate : 0.002096 seconds
Step: 31     | Time taken for NumPy : 0.000235 seconds
Step: 31     | Time taken for obs : 0.000000 seconds
Step: 31     | Time taken for reward : 0.000003 seconds
Step: 32     | Time taken for rollback : 0.000034 seconds
Step: 32     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010463 seconds
Step: 32     |Time taken for simulate : 0.004676 seconds
Step: 32     | Time taken for NumPy : 0.000201 seconds
Step: 32     | Time taken for obs : 0.000001 seconds
Step: 32     | Time taken for reward : 0.000001 seconds
Step: 33     | Time taken for rollback : 0.000015 seconds
Step: 33     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007109 seconds
Step: 33     |Time taken for simulate : 0.002464 seconds
Step: 33     | Time taken for NumPy : 0.000186 seconds
Step: 33     | Time taken for obs : 0.000001 seconds
Step: 33     | Time taken for reward : 0.000001 seconds
Step: 34     | Time taken for rollback : 0.000012 seconds
Step: 34     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006529 seconds
Step: 34     |Time taken for simulate : 0.002079 seconds
Step: 34     | Time taken for NumPy : 0.000185 seconds
Step: 34     | Time taken for obs : 0.000000 seconds
Step: 34     | Time taken for reward : 0.000001 seconds
Step: 35     | Time taken for rollback : 0.000013 seconds
Step: 35     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006476 seconds
Step: 35     |Time taken for simulate : 0.007192 seconds
Step: 35     | Time taken for NumPy : 0.000182 seconds
Step: 35     | Time taken for obs : 0.000001 seconds
Step: 35     | Time taken for reward : 0.000001 seconds
Step: 36     | Time taken for print : 0.000001 seconds
Step: 36     | Time taken for terminated : 0.000002 seconds
Step: 36     | Time taken for max_steps : 0.000000 seconds
Step: 36     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006244 seconds
Step: 36     |Time taken for simulate : 0.001789 seconds
Step: 36     | Time taken for NumPy : 0.000183 seconds
Step: 36     | Time taken for obs : 0.000001 seconds
Step: 36     | Time taken for reward : 0.000001 seconds
Step: 37     | Time taken for rollback : 0.000012 seconds
Step: 37     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010618 seconds
Step: 37     |Time taken for simulate : 0.004127 seconds
Step: 37     | Time taken for NumPy : 0.000276 seconds
Step: 37     | Time taken for obs : 0.000001 seconds
Step: 37     | Time taken for reward : 0.000001 seconds
Step: 38     | Time taken for print : 0.000000 seconds
Step: 38     | Time taken for terminated : 0.000007 seconds
Step: 38     | Time taken for max_steps : 0.000001 seconds
Step: 38     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010669 seconds
Step: 38     |Time taken for simulate : 0.004592 seconds
Step: 38     | Time taken for NumPy : 0.000425 seconds
Step: 38     | Time taken for obs : 0.000001 seconds
Step: 38     | Time taken for reward : 0.000001 seconds
Step: 39     | Time taken for rollback : 0.000015 seconds
Step: 39     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007169 seconds
Step: 39     |Time taken for simulate : 0.002602 seconds
Step: 39     | Time taken for NumPy : 0.000274 seconds
Step: 39     | Time taken for obs : 0.000000 seconds
Step: 39     | Time taken for reward : 0.000001 seconds
Step: 40     | Time taken for rollback : 0.000056 seconds
Step: 40     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007030 seconds
Step: 40     |Time taken for simulate : 0.002799 seconds
Step: 40     | Time taken for NumPy : 0.000207 seconds
Step: 40     | Time taken for obs : 0.000001 seconds
Step: 40     | Time taken for reward : 0.000001 seconds
Step: 41     | Time taken for rollback : 0.000015 seconds
Step: 41     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006887 seconds
Step: 41     |Time taken for simulate : 0.002152 seconds
Step: 41     | Time taken for NumPy : 0.000185 seconds
Step: 41     | Time taken for obs : 0.000000 seconds
Step: 41     | Time taken for reward : 0.000000 seconds
Step: 42     | Time taken for rollback : 0.000013 seconds
Step: 42     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007991 seconds
Step: 42     |Time taken for simulate : 0.003304 seconds
Step: 42     | Time taken for NumPy : 0.000307 seconds
Step: 42     | Time taken for obs : 0.000001 seconds
Step: 42     | Time taken for reward : 0.000001 seconds
Step: 43     | Time taken for rollback : 0.000084 seconds
Step: 43     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.011732 seconds
Step: 43     |Time taken for simulate : 0.002208 seconds
Step: 43     | Time taken for NumPy : 0.000192 seconds
Step: 43     | Time taken for obs : 0.000000 seconds
Step: 43     | Time taken for reward : 0.000001 seconds
Step: 44     | Time taken for rollback : 0.000014 seconds
Step: 44     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007401 seconds
Step: 44     |Time taken for simulate : 0.002223 seconds
Step: 44     | Time taken for NumPy : 0.000190 seconds
Step: 44     | Time taken for obs : 0.000000 seconds
Step: 44     | Time taken for reward : 0.000001 seconds
Step: 45     | Time taken for rollback : 0.000014 seconds
Step: 45     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008909 seconds
Step: 45     |Time taken for simulate : 0.001883 seconds
Step: 45     | Time taken for NumPy : 0.000187 seconds
Step: 45     | Time taken for obs : 0.000000 seconds
Step: 45     | Time taken for reward : 0.000000 seconds
Step: 46     | Time taken for rollback : 0.000013 seconds
Step: 46     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008512 seconds
Step: 46     |Time taken for simulate : 0.001936 seconds
Step: 46     | Time taken for NumPy : 0.000189 seconds
Step: 46     | Time taken for obs : 0.000000 seconds
Step: 46     | Time taken for reward : 0.000001 seconds
Step: 47     | Time taken for print : 0.000000 seconds
Step: 47     | Time taken for terminated : 0.000001 seconds
Step: 47     | Time taken for max_steps : 0.000000 seconds
Step: 47     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008548 seconds
Step: 47     |Time taken for simulate : 0.001934 seconds
Step: 47     | Time taken for NumPy : 0.000189 seconds
Step: 47     | Time taken for obs : 0.000000 seconds
Step: 47     | Time taken for reward : 0.000000 seconds
Step: 48     | Time taken for rollback : 0.000018 seconds
Step: 48     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.014115 seconds
Step: 48     |Time taken for simulate : 0.002419 seconds
Step: 48     | Time taken for NumPy : 0.000202 seconds
Step: 48     | Time taken for obs : 0.000001 seconds
Step: 48     | Time taken for reward : 0.000001 seconds
Step: 49     | Time taken for rollback : 0.000018 seconds
Step: 49     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008054 seconds
Step: 49     |Time taken for simulate : 0.002933 seconds
Step: 49     | Time taken for NumPy : 0.000374 seconds
Step: 49     | Time taken for obs : 0.000001 seconds
Step: 49     | Time taken for reward : 0.000001 seconds
Step: 50     | Time taken for rollback : 0.000014 seconds
Step: 50     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006846 seconds
Step: 50     |Time taken for simulate : 0.002284 seconds
Step: 50     | Time taken for NumPy : 0.000217 seconds
Step: 50     | Time taken for obs : 0.000000 seconds
Step: 50     | Time taken for reward : 0.000001 seconds
Step: 51     | Time taken for rollback : 0.000014 seconds
Step: 51     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006807 seconds
Step: 51     |Time taken for simulate : 0.003776 seconds
Step: 51     | Time taken for NumPy : 0.000196 seconds
Step: 51     | Time taken for obs : 0.000000 seconds
Step: 51     | Time taken for reward : 0.000001 seconds
Step: 52     | Time taken for rollback : 0.000012 seconds
Step: 52     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006421 seconds
Step: 52     |Time taken for simulate : 0.002407 seconds
Step: 52     | Time taken for NumPy : 0.000364 seconds
Step: 52     | Time taken for obs : 0.000000 seconds
Step: 52     | Time taken for reward : 0.000001 seconds
Step: 53     | Time taken for rollback : 0.000013 seconds
Step: 53     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006067 seconds
Step: 53     |Time taken for simulate : 0.002344 seconds
Step: 53     | Time taken for NumPy : 0.000374 seconds
Step: 53     | Time taken for obs : 0.000000 seconds
Step: 53     | Time taken for reward : 0.000001 seconds
Step: 54     | Time taken for rollback : 0.000013 seconds
Step: 54     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006227 seconds
Step: 54     |Time taken for simulate : 0.005732 seconds
Step: 54     | Time taken for NumPy : 0.000214 seconds
Step: 54     | Time taken for obs : 0.000001 seconds
Step: 54     | Time taken for reward : 0.000001 seconds
Step: 55     | Time taken for rollback : 0.000013 seconds
Step: 55     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.010085 seconds
Step: 55     |Time taken for simulate : 0.013206 seconds
Step: 55     | Time taken for NumPy : 0.001146 seconds
Step: 55     | Time taken for obs : 0.000001 seconds
Step: 55     | Time taken for reward : 0.000001 seconds
Step: 56     | Time taken for rollback : 0.000028 seconds
Step: 56     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.014254 seconds
Step: 56     |Time taken for simulate : 0.013991 seconds
Step: 56     | Time taken for NumPy : 0.000219 seconds
Step: 56     | Time taken for obs : 0.000001 seconds
Step: 56     | Time taken for reward : 0.000006 seconds
Step: 57     | Time taken for rollback : 0.000028 seconds
Step: 57     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.009040 seconds
Step: 57     |Time taken for simulate : 0.012918 seconds
Step: 57     | Time taken for NumPy : 0.000309 seconds
Step: 57     | Time taken for obs : 0.000000 seconds
Step: 57     | Time taken for reward : 0.000001 seconds
Step: 58     | Time taken for rollback : 0.000016 seconds
Step: 58     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007206 seconds
Step: 58     |Time taken for simulate : 0.007214 seconds
Step: 58     | Time taken for NumPy : 0.000189 seconds
Step: 58     | Time taken for obs : 0.000001 seconds
Step: 58     | Time taken for reward : 0.000001 seconds
Step: 59     | Time taken for rollback : 0.000014 seconds
Step: 59     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006319 seconds
Step: 59     |Time taken for simulate : 0.001841 seconds
Step: 59     | Time taken for NumPy : 0.000185 seconds
Step: 59     | Time taken for obs : 0.000000 seconds
Step: 59     | Time taken for reward : 0.000000 seconds
Step: 60     | Time taken for rollback : 0.000013 seconds
Step: 60     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006160 seconds
Step: 60     |Time taken for simulate : 0.002404 seconds
Step: 60     | Time taken for NumPy : 0.000235 seconds
Step: 60     | Time taken for obs : 0.000001 seconds
Step: 60     | Time taken for reward : 0.000001 seconds
Step: 61     | Time taken for rollback : 0.000019 seconds
Step: 61     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.011991 seconds
Step: 61     |Time taken for simulate : 0.007165 seconds
Step: 61     | Time taken for NumPy : 0.000208 seconds
Step: 61     | Time taken for obs : 0.000001 seconds
Step: 61     | Time taken for reward : 0.000001 seconds
Step: 62     | Time taken for rollback : 0.000018 seconds
Step: 62     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.009013 seconds
Step: 62     |Time taken for simulate : 0.002667 seconds
Step: 62     | Time taken for NumPy : 0.000192 seconds
Step: 62     | Time taken for obs : 0.000000 seconds
Step: 62     | Time taken for reward : 0.000001 seconds
Step: 63     | Time taken for rollback : 0.000013 seconds
Step: 63     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008968 seconds
Step: 63     |Time taken for simulate : 0.003305 seconds
Step: 63     | Time taken for NumPy : 0.000190 seconds
Step: 63     | Time taken for obs : 0.000001 seconds
Step: 63     | Time taken for reward : 0.000001 seconds
Step: 64     | Time taken for print : 0.000000 seconds
Step: 64     | Time taken for terminated : 0.000001 seconds
Step: 64     | Time taken for max_steps : 0.000000 seconds
Step: 64     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008510 seconds
Step: 64     |Time taken for simulate : 0.001778 seconds
Step: 64     | Time taken for NumPy : 0.000185 seconds
Step: 64     | Time taken for obs : 0.000001 seconds
Step: 64     | Time taken for reward : 0.000001 seconds
Step: 65     | Time taken for rollback : 0.000013 seconds
Step: 65     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.009458 seconds
Step: 65     |Time taken for simulate : 0.004787 seconds
Step: 65     | Time taken for NumPy : 0.000180 seconds
Step: 65     | Time taken for obs : 0.000000 seconds
Step: 65     | Time taken for reward : 0.000001 seconds
Step: 66     | Time taken for rollback : 0.000038 seconds
Step: 66     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.013360 seconds
Step: 66     |Time taken for simulate : 0.003537 seconds
Step: 66     | Time taken for NumPy : 0.000452 seconds
Step: 66     | Time taken for obs : 0.000001 seconds
Step: 66     | Time taken for reward : 0.000001 seconds
Step: 67     | Time taken for rollback : 0.000017 seconds
Step: 67     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008003 seconds
Step: 67     |Time taken for simulate : 0.003134 seconds
Step: 67     | Time taken for NumPy : 0.000190 seconds
Step: 67     | Time taken for obs : 0.000000 seconds
Step: 67     | Time taken for reward : 0.000001 seconds
Step: 68     | Time taken for rollback : 0.000015 seconds
Step: 68     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007078 seconds
Step: 68     |Time taken for simulate : 0.002036 seconds
Step: 68     | Time taken for NumPy : 0.000189 seconds
Step: 68     | Time taken for obs : 0.000000 seconds
Step: 68     | Time taken for reward : 0.000001 seconds
Step: 69     | Time taken for print : 0.000000 seconds
Step: 69     | Time taken for terminated : 0.000002 seconds
Step: 69     | Time taken for max_steps : 0.000000 seconds
Step: 69     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006924 seconds
Step: 69     |Time taken for simulate : 0.002238 seconds
Step: 69     | Time taken for NumPy : 0.000188 seconds
Step: 69     | Time taken for obs : 0.000000 seconds
Step: 69     | Time taken for reward : 0.000001 seconds
Step: 70     | Time taken for rollback : 0.000016 seconds
Step: 70     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006479 seconds
Step: 70     |Time taken for simulate : 0.001948 seconds
Step: 70     | Time taken for NumPy : 0.000183 seconds
Step: 70     | Time taken for obs : 0.000000 seconds
Step: 70     | Time taken for reward : 0.000001 seconds
Step: 71     | Time taken for rollback : 0.000014 seconds
Step: 71     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006358 seconds
Step: 71     |Time taken for simulate : 0.002011 seconds
Step: 71     | Time taken for NumPy : 0.000184 seconds
Step: 71     | Time taken for obs : 0.000000 seconds
Step: 71     | Time taken for reward : 0.000001 seconds
Step: 72     | Time taken for rollback : 0.000012 seconds
Step: 72     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006712 seconds
Step: 72     |Time taken for simulate : 0.002039 seconds
Step: 72     | Time taken for NumPy : 0.000185 seconds
Step: 72     | Time taken for obs : 0.000000 seconds
Step: 72     | Time taken for reward : 0.000000 seconds
Step: 73     | Time taken for rollback : 0.000012 seconds
Step: 73     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006103 seconds
Step: 73     |Time taken for simulate : 0.002943 seconds
Step: 73     | Time taken for NumPy : 0.000318 seconds
Step: 73     | Time taken for obs : 0.000000 seconds
Step: 73     | Time taken for reward : 0.000001 seconds
Step: 74     | Time taken for rollback : 0.000050 seconds
Step: 74     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.013577 seconds
Step: 74     |Time taken for simulate : 0.006606 seconds
Step: 74     | Time taken for NumPy : 0.000211 seconds
Step: 74     | Time taken for obs : 0.000001 seconds
Step: 74     | Time taken for reward : 0.000001 seconds
Step: 75     | Time taken for rollback : 0.000015 seconds
